comment_id,content_id,comment
CM00001,C0001,You explained my situation perfectly.
CM00002,C0001,This hit me hard.
CM00003,C0001,This hit me hard.
CM00004,C0001,This was informative.
CM00005,C0002,I have been through the same thing.
CM00006,C0002,Finally someone talked about this.
CM00007,C0002,You explained my situation perfectly.
CM00008,C0002,This is literally me.
CM00009,C0003,Good information.
CM00010,C0003,Nice explanation.
CM00011,C0003,I have been through the same thing.
CM00012,C0003,Interesting perspective.
CM00013,C0004,Interesting post.
CM00014,C0004,This describes exactly what I have been feeling.
CM00015,C0004,This is literally me.
CM00016,C0005,This was informative.
CM00017,C0005,I can completely relate to this.
CM00018,C0005,Finally someone talked about this.
CM00019,C0006,Good video.
CM00020,C0006,Good information.
CM00021,C0006,Good video.
CM00022,C0006,Interesting perspective.
CM00023,C0007,Very useful advice.
CM00024,C0007,Thanks for the tips.
CM00025,C0007,Thanks for sharing.
CM00026,C0008,This is literally me.
CM00027,C0008,This describes exactly what I have been feeling.
CM00028,C0008,I have been through the same thing.
CM00029,C0008,Finally someone talked about this.
CM00030,C0008,I can completely relate to this.
CM00031,C0009,Good video.
CM00032,C0009,I can completely relate to this.
CM00033,C0009,Thanks for sharing.
CM00034,C0009,Well explained.
CM00035,C0010,Good video.
CM00036,C0010,This was informative.
CM00037,C0010,Good video.
CM00038,C0010,I can completely relate to this.
CM00039,C0011,This was informative.
CM00040,C0011,Thanks for the tips.
CM00041,C0011,Thanks for sharing.
CM00042,C0012,Finally someone talked about this.
CM00043,C0012,This was informative.
CM00044,C0012,I needed to hear this today.
CM00045,C0012,This is literally me.
CM00046,C0013,Interesting perspective.
CM00047,C0013,Finally someone talked about this.
CM00048,C0013,Finally someone talked about this.
CM00049,C0013,Finally someone talked about this.
CM00050,C0013,I have been through the same thing.
CM00051,C0014,I thought I was the only one who felt this way.
CM00052,C0014,This feels so real.
CM00053,C0014,I thought I was the only one who felt this way.
CM00054,C0015,I needed to hear this today.
CM00055,C0015,I thought I was the only one who felt this way.
CM00056,C0015,I thought I was the only one who felt this way.
CM00057,C0015,Good information.
CM00058,C0016,You explained my situation perfectly.
CM00059,C0016,This was informative.
CM00060,C0016,This was informative.
CM00061,C0016,You explained my situation perfectly.
CM00062,C0016,I have been through the same thing.
CM00063,C0017,I thought I was the only one who felt this way.
CM00064,C0017,Good information.
CM00065,C0017,This feels so real.
CM00066,C0018,Interesting post.
CM00067,C0018,You explained my situation perfectly.
CM00068,C0018,I thought I was the only one who felt this way.
CM00069,C0018,Interesting post.
CM00070,C0019,Interesting perspective.
CM00071,C0019,Good information.
CM00072,C0019,I can completely relate to this.
CM00073,C0019,This was informative.
CM00074,C0020,This feels so real.
CM00075,C0020,This describes exactly what I have been feeling.
CM00076,C0020,This hit me hard.
CM00077,C0021,Nice explanation.
CM00078,C0021,This is literally me.
CM00079,C0021,This hit me hard.
CM00080,C0021,Thanks for sharing.
CM00081,C0022,You explained my situation perfectly.
CM00082,C0022,Finally someone talked about this.
CM00083,C0023,This is literally me.
CM00084,C0023,I needed to hear this today.
CM00085,C0023,Thanks for the tips.
CM00086,C0023,Nice explanation.
CM00087,C0023,Thanks for the tips.
CM00088,C0024,Nice explanation.
CM00089,C0024,This hit me hard.
CM00090,C0024,This feels so real.
CM00091,C0024,Good video.
CM00092,C0024,This is literally me.
CM00093,C0025,Nice explanation.
CM00094,C0025,I needed to hear this today.
CM00095,C0025,Thanks for sharing.
CM00096,C0025,Interesting post.
CM00097,C0026,Well explained.
CM00098,C0026,Finally someone talked about this.
CM00099,C0027,This was informative.
CM00100,C0027,This was informative.
CM00101,C0027,Thanks for the tips.
CM00102,C0028,I thought I was the only one who felt this way.
CM00103,C0028,This is literally me.
CM00104,C0028,Well explained.
CM00105,C0029,I have been through the same thing.
CM00106,C0029,I can completely relate to this.
CM00107,C0029,Very useful advice.
CM00108,C0030,I thought I was the only one who felt this way.
CM00109,C0030,This was informative.
CM00110,C0030,I can completely relate to this.
CM00111,C0031,I thought I was the only one who felt this way.
CM00112,C0031,This hit me hard.
CM00113,C0031,This feels so real.
CM00114,C0031,Well explained.
CM00115,C0032,Good information.
CM00116,C0032,Interesting perspective.
CM00117,C0032,This was informative.
CM00118,C0032,I can completely relate to this.
CM00119,C0032,Finally someone talked about this.
CM00120,C0033,Interesting perspective.
CM00121,C0033,Nice explanation.
CM00122,C0034,Nice explanation.
CM00123,C0034,I have been through the same thing.
CM00124,C0034,Thanks for the tips.
CM00125,C0034,I needed to hear this today.
CM00126,C0035,Finally someone talked about this.
CM00127,C0035,This was informative.
CM00128,C0035,This feels so real.
CM00129,C0035,Good information.
CM00130,C0035,Nice explanation.
CM00131,C0036,I needed to hear this today.
CM00132,C0036,I have been through the same thing.
CM00133,C0036,Interesting post.
CM00134,C0036,Very useful advice.
CM00135,C0037,I have been through the same thing.
CM00136,C0037,Good video.
CM00137,C0037,You explained my situation perfectly.
CM00138,C0038,This describes exactly what I have been feeling.
CM00139,C0038,This was informative.
CM00140,C0039,Good video.
CM00141,C0039,Well explained.
CM00142,C0039,Interesting post.
CM00143,C0039,This hit me hard.
CM00144,C0039,This hit me hard.
CM00145,C0040,This describes exactly what I have been feeling.
CM00146,C0040,Very useful advice.
CM00147,C0041,This feels so real.
CM00148,C0041,Nice explanation.
CM00149,C0042,Well explained.
CM00150,C0042,I thought I was the only one who felt this way.
CM00151,C0042,Very useful advice.
CM00152,C0042,Finally someone talked about this.
CM00153,C0043,I have been through the same thing.
CM00154,C0043,Good video.
CM00155,C0043,I needed to hear this today.
CM00156,C0043,Interesting post.
CM00157,C0043,You explained my situation perfectly.
CM00158,C0044,Finally someone talked about this.
CM00159,C0044,Very useful advice.
CM00160,C0045,Very useful advice.
CM00161,C0045,You explained my situation perfectly.
CM00162,C0045,This is literally me.
CM00163,C0046,Thanks for sharing.
CM00164,C0046,Good information.
CM00165,C0046,Finally someone talked about this.
CM00166,C0046,Nice explanation.
CM00167,C0046,Nice explanation.
CM00168,C0047,Good video.
CM00169,C0047,This describes exactly what I have been feeling.
CM00170,C0047,This hit me hard.
CM00171,C0047,This was informative.
CM00172,C0047,Good information.
CM00173,C0048,Interesting perspective.
CM00174,C0048,Nice explanation.
CM00175,C0048,Thanks for the tips.
CM00176,C0048,I needed to hear this today.
CM00177,C0049,Nice explanation.
CM00178,C0049,Nice explanation.
CM00179,C0049,This hit me hard.
CM00180,C0049,Good information.
CM00181,C0050,Thanks for sharing.
CM00182,C0050,Thanks for the tips.
CM00183,C0050,Nice explanation.
CM00184,C0050,This was informative.
CM00185,C0050,This is literally me.
CM00186,C0051,This describes exactly what I have been feeling.
CM00187,C0051,Thanks for the tips.
CM00188,C0051,Good video.
CM00189,C0052,Well explained.
