content_id,topic,content_type,length_sec,hook_type,posting_time,likes,shares,saves,comments,retention_rate,caption_style,followers_gained
C0001,Dating,Short Video,38,Visual,12:00,1657,264,301,41,69.84,Story,218
C0002,Dating,Short Video,33,Visual,09:00,1168,210,212,71,65.64,Question,397
C0003,Friendship,Long Video,137,Visual,20:00,889,68,98,30,65.99,Story,104
C0004,Loneliness,Long Video,135,Text,09:00,1699,159,312,40,56.69,Story,239
C0005,Loneliness,Image,0,Visual,17:00,2823,225,472,151,51.86,Question,507
C0006,Dating,Carousel,0,Text,20:00,1113,84,101,85,88.63,Statement,208
C0007,Social Anxiety,Carousel,0,Text,09:00,985,150,152,22,69.81,Statement,115
C0008,Overthinking,Long Video,68,Visual,21:00,1120,208,138,65,57.47,Story,256
C0009,Work Stress,Short Video,42,Visual,19:00,501,97,106,38,92.74,Statement,151
C0010,Relationships,Image,0,Text,12:00,1344,253,127,37,51.81,Statement,221
C0011,Dating,Long Video,153,Visual,12:00,559,97,78,18,66.71,Advice,80
C0012,Loneliness,Image,0,Visual,21:00,848,144,78,67,80.89,Statement,140
C0013,Social Anxiety,Long Video,64,Text,19:00,2416,400,223,92,49.63,Statement,571
C0014,Dating,Long Video,180,Text,12:00,2104,301,286,40,57.44,Advice,307
C0015,Loneliness,Carousel,0,Visual,12:00,1971,360,315,44,78.53,Statement,499
C0016,Loneliness,Carousel,0,Visual,20:00,2658,356,561,125,70.91,Advice,540
C0017,Dating,Short Video,42,Visual,21:00,1322,128,220,97,72.73,Story,236
C0018,Loneliness,Short Video,27,Text,20:00,1069,174,127,21,73.98,Statement,138
C0019,Social Anxiety,Short Video,36,Text,21:00,2267,386,253,165,81.72,Statement,627
C0020,Dating,Image,0,Text,09:00,1511,278,202,33,59.12,Statement,284
C0021,Self Confidence,Short Video,42,Text,21:00,1419,72,236,59,71.89,Story,133
C0022,Self Confidence,Image,0,Visual,20:00,1392,140,334,50,70.75,Statement,315
C0023,Relationships,Short Video,18,Text,17:00,1389,269,170,65,74.33,Story,255
C0024,Social Anxiety,Long Video,132,Visual,09:00,1315,73,241,62,47.06,Advice,162
C0025,Dating,Long Video,144,Text,20:00,1134,81,185,89,54.68,Story,229
C0026,Work Stress,Carousel,0,Visual,21:00,1229,201,147,76,64.71,Statement,287
C0027,Loneliness,Image,0,Text,09:00,1741,110,386,62,57.46,Story,177
C0028,Friendship,Short Video,25,Visual,20:00,3841,532,749,61,80.87,Story,563
C0029,Social Anxiety,Short Video,37,Visual,12:00,764,117,111,57,69.26,Question,150
C0030,Social Anxiety,Image,0,Visual,17:00,1778,119,421,128,60.32,Advice,399
C0031,Friendship,Long Video,179,Text,12:00,1304,168,157,27,80.89,Advice,266
C0032,Loneliness,Long Video,72,Text,17:00,2588,375,356,97,74.04,Advice,635
C0033,Loneliness,Carousel,0,Visual,21:00,1447,211,136,36,85.94,Question,250
C0034,Social Anxiety,Carousel,0,Visual,12:00,1658,85,161,96,50.2,Story,146
C0035,Friendship,Carousel,0,Visual,17:00,3213,474,379,196,59.49,Advice,550
C0036,Friendship,Short Video,29,Visual,09:00,1494,241,284,104,85.39,Question,385
C0037,Dating,Long Video,112,Text,19:00,1101,98,133,86,60.72,Story,250
C0038,Loneliness,Short Video,20,Visual,19:00,833,120,179,39,82.88,Statement,185
C0039,Relationships,Image,0,Text,12:00,1701,156,143,96,57.08,Story,328
C0040,Work Stress,Long Video,67,Visual,21:00,650,125,153,25,45.62,Statement,226
C0041,Social Anxiety,Short Video,33,Visual,09:00,1778,345,400,60,76.94,Question,575
C0042,Self Confidence,Short Video,34,Visual,19:00,1158,112,126,59,94.02,Question,203
C0043,Friendship,Short Video,34,Text,21:00,708,100,175,17,81.07,Statement,199
C0044,Work Stress,Long Video,151,Text,12:00,1133,182,224,68,59.38,Statement,226
C0045,Loneliness,Long Video,142,Text,19:00,1674,301,393,80,65.06,Statement,534
C0046,Dating,Short Video,29,Visual,09:00,1672,246,333,111,92.59,Story,343
C0047,Work Stress,Long Video,104,Visual,12:00,681,93,58,30,66.71,Statement,93
C0048,Work Stress,Long Video,166,Text,20:00,914,126,77,15,77.9,Question,116
C0049,Work Stress,Short Video,45,Visual,17:00,1079,178,125,59,67.65,Question,142
C0050,Dating,Long Video,96,Visual,21:00,697,90,119,39,74.04,Statement,195
C0051,Friendship,Image,0,Text,09:00,378,63,47,16,53.14,Question,46
C0052,Loneliness,Image,0,Text,12:00,1397,271,310,84,66.36,Statement,281
C0053,Self Confidence,Carousel,0,Text,20:00,928,122,186,53,61.2,Question,275
C0054,Dating,Short Video,45,Visual,20:00,880,141,153,48,78.01,Question,158
C0055,Overthinking,Long Video,76,Visual,17:00,2641,137,263,47,46.63,Statement,306
C0056,Social Anxiety,Image,0,Visual,21:00,928,144,149,19,69.66,Question,171
C0057,Overthinking,Carousel,0,Visual,12:00,1145,125,211,64,51.81,Story,200
C0058,Self Confidence,Carousel,0,Text,19:00,607,87,100,42,76.35,Story,98
C0059,Work Stress,Long Video,149,Visual,19:00,1162,62,208,88,68.02,Question,179
C0060,Relationships,Long Video,164,Text,17:00,867,127,136,43,82.66,Statement,161
C0061,Friendship,Long Video,144,Visual,19:00,1343,81,180,93,45.93,Statement,254
C0062,Work Stress,Short Video,45,Text,17:00,739,68,73,44,84.5,Advice,145
C0063,Overthinking,Short Video,18,Text,12:00,2057,189,226,131,90.01,Statement,456
C0064,Social Anxiety,Short Video,34,Text,21:00,1938,216,277,126,75.56,Statement,487
C0065,Loneliness,Short Video,27,Visual,17:00,1118,181,232,24,92.98,Question,239
C0066,Loneliness,Short Video,31,Visual,17:00,2307,401,310,168,77.07,Advice,328
C0067,Dating,Image,0,Visual,21:00,1507,290,267,84,67.94,Statement,314
C0068,Work Stress,Carousel,0,Text,20:00,969,96,188,61,81.66,Story,235
C0069,Friendship,Carousel,0,Text,21:00,1143,67,198,49,85.51,Story,145
C0070,Work Stress,Carousel,0,Visual,17:00,636,42,66,41,74.73,Statement,60
C0071,Friendship,Carousel,0,Text,19:00,1317,80,289,80,53.25,Advice,157
C0072,Relationships,Long Video,120,Visual,21:00,912,180,130,35,77.51,Question,279
C0073,Work Stress,Image,0,Visual,21:00,701,116,122,29,86.25,Statement,105
C0074,Friendship,Long Video,63,Visual,12:00,1023,126,83,46,47.25,Advice,109
C0075,Dating,Carousel,0,Visual,21:00,1506,243,269,116,64.99,Advice,306
C0076,Relationships,Carousel,0,Visual,09:00,765,137,90,59,50.49,Advice,246
C0077,Friendship,Long Video,149,Text,09:00,1302,79,226,101,65.92,Story,249
C0078,Dating,Carousel,0,Text,21:00,1269,195,199,70,73.37,Statement,359
C0079,Relationships,Carousel,0,Text,12:00,4022,368,450,181,64.13,Advice,621
C0080,Relationships,Image,0,Text,20:00,773,47,189,61,77.93,Advice,161
C0081,Friendship,Image,0,Text,12:00,1942,296,209,144,82.9,Statement,552
C0082,Overthinking,Image,0,Visual,12:00,958,152,176,40,87.31,Story,269
C0083,Friendship,Carousel,0,Visual,09:00,2202,436,232,118,65.24,Advice,677
C0084,Loneliness,Image,0,Text,09:00,974,171,216,44,66.59,Story,197
C0085,Loneliness,Carousel,0,Visual,20:00,1264,209,304,88,59.89,Advice,324
C0086,Relationships,Short Video,45,Text,19:00,1237,85,299,67,72.09,Advice,264
C0087,Friendship,Carousel,0,Text,19:00,495,33,96,24,80.89,Question,82
C0088,Loneliness,Image,0,Text,21:00,2546,452,442,131,85.07,Story,551
C0089,Relationships,Long Video,128,Visual,19:00,1720,267,199,41,45.58,Question,263
C0090,Dating,Carousel,0,Text,12:00,2677,370,392,116,86.17,Question,446
C0091,Work Stress,Carousel,0,Text,17:00,2380,260,442,169,87.98,Statement,354
C0092,Loneliness,Image,0,Text,17:00,1313,248,214,41,68.37,Question,404
C0093,Relationships,Short Video,38,Visual,17:00,386,55,46,7,69.0,Story,43
C0094,Dating,Short Video,39,Visual,12:00,1200,87,124,67,70.64,Question,143
C0095,Self Confidence,Long Video,120,Visual,20:00,1165,174,127,32,46.63,Story,145
C0096,Relationships,Image,0,Visual,20:00,2039,187,224,42,54.83,Question,246
C0097,Self Confidence,Image,0,Visual,17:00,889,111,175,15,81.98,Advice,176
C0098,Loneliness,Long Video,135,Visual,09:00,652,40,148,48,47.44,Statement,103
C0099,Dating,Short Video,26,Text,21:00,1767,137,204,69,80.02,Statement,254
C0100,Dating,Image,0,Text,19:00,1912,201,303,121,51.47,Question,287
C0101,Loneliness,Image,0,Text,21:00,1731,219,295,38,67.9,Story,309
C0102,Loneliness,Long Video,126,Text,20:00,1496,129,188,59,45.8,Advice,182
C0103,Relationships,Carousel,0,Text,17:00,845,57,195,45,77.16,Story,189
C0104,Dating,Image,0,Visual,19:00,695,86,65,34,73.47,Advice,135
C0105,Overthinking,Short Video,30,Text,12:00,743,68,105,42,82.69,Advice,109
C0106,Friendship,Image,0,Text,17:00,1037,205,189,31,54.07,Statement,176
